Date Time,User,IP,Login_Status,Server_Name
2013-09-25 16:45:11,root,10.42.10.2,True,ae1-app82-stg
2013-09-25 16:45:24,ec2-user,10.42.10.2,True,ae1-app82-stg
2013-08-26 16:19:50,kantselovich,10.42.10.2,True,ae1-app82-stg
2013-08-26 16:24:25,atyagi,10.42.28.34,True,ae1-app82-stg
2013-08-28 15:01:52,aandreimann,10.42.28.38,True,ae1-app82-stg
2013-08-29 16:33:34,atyagi,10.42.28.34,True,ae1-app82-stg
2013-08-30 15:45:09,nrhine,10.42.28.50,True,ae1-app82-stg
2013-09-11 16:52:49,nrhine,10.42.28.50,True,ae1-app82-stg
2013-09-16 17:52:23,frum,10.42.28.30,True,ae1-app82-stg
2013-09-16 17:53:31,frum,10.42.28.30,True,ae1-app82-stg
2013-09-17 11:16:37,frum,10.42.28.30,True,ae1-app82-stg
2013-09-17 11:36:33,frum,10.42.28.30,True,ae1-app82-stg
2013-09-17 11:41:40,frum,10.42.28.30,True,ae1-app82-stg
2013-09-17 12:01:28,frum,10.42.28.30,True,ae1-app82-stg
2013-09-25 15:56:37,root,10.42.10.2,True,ae1-lb30-prd
2013-09-25 15:56:39,ec2-user,10.42.10.2,True,ae1-lb30-prd
2013-09-25 15:58:04,kantselovich,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:03:19,ec2-user,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:03:55,ec2-user,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:04:18,ec2-user,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:28:48,root,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:33:57,root,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:34:09,ec2-user,10.42.10.2,True,ae1-lb30-prd
2013-09-13 15:14:05,kantselovich,10.42.10.2,True,ae1-lb30-prd
2013-09-14 08:42:24,kantselovich,10.42.10.2,True,ae1-lb30-prd
2013-09-25 16:49:24,root,10.42.10.2,True,ae1-lb30-stg
2013-09-25 16:49:36,ec2-user,10.42.10.2,True,ae1-lb30-stg
2013-08-27 14:42:34,pong,10.42.10.18,True,ae1-lb30-stg
2013-08-27 17:50:37,kantselovich,10.42.10.2,True,ae1-lb30-stg
2013-08-27 17:52:45,kantselovich,10.42.10.2,True,ae1-lb30-stg
2013-08-27 17:52:55,pong,10.42.10.18,True,ae1-lb30-stg
2013-08-28 09:16:04,pong,10.42.10.18,True,ae1-lb30-stg
2013-08-28 14:57:13,pong,10.42.10.18,True,ae1-lb30-stg
2013-09-25 23:45:47,root,10.42.10.2,True,ae1-lb40-prd
2013-09-25 23:45:58,ec2-user,10.42.10.2,True,ae1-lb40-prd
2013-09-13 14:43:20,kantselovich,10.42.10.2,True,ae1-lb40-prd
2013-09-25 16:35:11,root,10.42.10.2,True,ae1-lb40-stg
2013-09-25 16:35:24,ec2-user,10.42.10.2,True,ae1-lb40-stg
2013-09-25 23:46:34,root,10.42.10.2,True,ae1-nfs20-prd
2013-09-25 23:46:46,ec2-user,10.42.10.2,True,ae1-nfs20-prd
2013-09-20 20:20:57,ec2-user,10.42.10.18,True,ae1-nfs20-prd
2013-09-20 22:57:20,root,10.24.32.55,True,ae1-nfs20-prd
2013-09-20 23:05:55,root,10.24.32.55,True,ae1-nfs20-prd
2013-09-22 00:23:45,pong,10.42.10.18,True,ae1-nfs20-prd
